#,New Name,Original Name,中文名,款号,Category,"List
 Price","Current
 Price",neiwai.life,Note,"90-Day
 Sales","Units
 Sold","Avg
 Price",Disc %,"US
 WH",Yuntu,菜鸟仓,"US
 Inv","Total
 Inv","Est. Inv
 Value",SKUs,% Sales,Asset Folder
,,,,,,,,,,,,,,,,,,,,,,
KEEP LIST — 25 Products | 71.2% of total revenue,,,,,,,,,,,,,,,,,,,,,,
26SS Products,,Seamless Modal Briefs 3-Pack,无缝莫代尔裸氨无缝内裤三条装（美国单）,NO261WU1508,,$30,$30,,,,,,,,492,,,,,,,
,,Pure Comfort Ribbed Triangle Bra 2.0,零敏玲珑罗纹文胸,NO261WU1135,,$49,$49,,,,,,,,891,,,,,,,
,,Pure Comfort Ribbed Plunge Bra 2.0,零敏罗纹交叉三角杯文胸,NO261WU1134,,$49,$49,,,,,,,,597,,,,,,,
,,Modal Silk Briefs 3-Pack,莫代尔丝中腰内裤三条装,NO261WU1507,,$39,$39,,,,,,,,514,,,,,,,
,,Essential Bandeau Bra 4.0,网纱拼接抹胸,NW261WU1106,,$59,$59,,,,,,,,1628,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
26SS 未上线产品,,UltraFlex Front Closure Bra,好弹尼龙前扣美背三角杯文胸,NO261WU1131,,$49,$49,,,,,,,,500,,,,,,,
,,Non-Slip Bandeau Bra,美形防滑抹胸,NO261WU1133,,$49,$49,,,,,,,,1300,,,,,,,
,,UltraFlex Padded Sleeveless Top,好弹尼龙带胸垫窄肩修身背心,NO261WF3205,,$59,$59,,,,,,,,200,,,,,,,
,,Barely Zero Lace Padded Camisole,云朵蕾丝拼接带胸垫吊带,NO261WF3103,,$59,$59,,,,,,,,200,,,,,,,
,,UltraFlex Cotton Modal Lounge Pants,好弹棉莫直筒抽绳长裤,NO261WL4006,,$55,$55,,,,,,,,150,,,,,,,
,,UltraFlex Cotton Modal Lounge Top,好弹棉莫宽松A摆圆领长袖,NO261WL3006,,$55,$55,,,,,,,,100,,,,,,,
,,Barely Zero Fixed Cup Wavy Bra 2.0,抱抱杯吊带,NO261WU1138,,$59,$59,,,,,,,4500,,,,,,,,
